,word,type
477,खूबसूरती ,positive
478,ईर्ष्या,negative
479,उदारता,positive
480,अप्रत्याशित,negative
481,प्रलाप,negative
482,चिंतित,negative
483,में,stopword
484,लोभया ,negative
485,विरोधकिया,negative
486,उचित,positive
487,आज्ञाकारी,positive
488,भूनना,negative
489,कामुक,positive
490,तेज़,positive
491,उल्लासपूर्ण,positive
492,खुलेदिल ,positive
493,महत्त्वाकांक्षी,positive
494,लीक,negative
495,शानदार,positive
496,दुर्घटनाग्रस्त ,negative
497,स्वच्छता,positive
498,हितकर,positive
499,अवमानक,negative
500,कहते,stopword
501,इसी,stopword
502,अविवेकी,negative
503,बंद,stopword
504,अनुग्रह,positive
505,रमणीरंजनतापूर्वक,positive
506,सज्जन,positive
507,समाधान ,positive
508,उपालंभ ,negative
509,अग्निपरीक्षा,negative
510,स्वास्थ,positive
511,चिड़चिड़ा,negative
512,नायक,positive
513,निर्वासन,negative
514,शंकास्पद,negative
515,कुशलता,positive
516,सहजता,positive
517,दु: ख,negative
518,दुविधा,negative
519,सफलता,positive
520,बड़बड़ा,negative
521,कमरेटेड,negative
522,धोखादिया,negative
523,अल्हड़,negative
524,समृद्धिशाली,positive
525,बुरीतरह,negative
526,सेवक,negative
527,अपराधी,negative
528,अनिष्ट,negative
529,बेतरतीब,negative
530,भड़कीला,negative
531,विस्मित,positive
532,निर्जीव,negative
533,फटकार,negative
534,विपक्ष,negative
535,परजीवी,negative
536,जयध्वनि,positive
537,नटखट,negative
538,शूरवीरता ,positive
539,कुख्यात,negative
540,जाता,stopword
541,सौहार्दपूर्ण,positive
542,सत्ताशील,negative
543,सुलझाना,negative
544,मारना,negative
545,साफ,positive
546,अरुचि,negative
547,अन्यमनस्क,negative
548,झूठाआपेक्ष,negative
549,सर्वोपरि,positive
550,निन्दनीय,negative
551,परभरोसा,positive
552,उगल,negative
553,सीमित,negative
554,जबकि,stopword
555,मज़बूती ,positive
556,भ्रम,negative
557,क्षमता,positive
558,अपील,positive
559,उत्साहित,positive
560,उग्ररूप ,negative
561,दर्दनाक,negative
562,आशावाद,positive
563,षड्यंत्रकारी,negative
564,नरम,positive
565,बेतरतीबी,negative
566,अतिरंजना ,negative
567,गुमराह,negative
568,घसीटा,negative
569,व,stopword
570,विफलताओं,negative
571,वैध,positive
572,भेद,positive
573,प्रतिबंधक,negative
574,परदारगमन ,negative
575,प्रतिगामी,negative
576,असुविधाजनक,negative
577,परंतु,stopword
578,आमोद,positive
579,ईशअनुग्रह,positive
580,सतीत्व,positive
581,गोलमाल,negative
582,बहकाना,negative
583,कितना,stopword
584,जिहाद,negative
585,सुदर्शन,positive
586,हटना,negative
587,शांतिदायक,positive
588,तीव्र,negative
589,डरपोक,negative
590,भाग्यशाली,positive
591,नीरस,negative
592,भय,negative
593,धीमी,negative
594,धमकाना,negative
595,दरार,positive
596,नखलिस्तान,positive
597,हड़ताल,negative
598,उत्सुकतापूर्वक,positive
599,अकिंचनता,negative
600,मै,stopword
601,आसान,positive
602,धड़कते,negative
603,वाग्मिता,positive
604,विद्वेष,negative
605,शापित,negative
606,मित्रता,positive
607,असफलताओं,negative
608,रिकॉर्ड ,positive
609,चकनाचूर,negative
610,बदमाशी,negative
611,स्टेनलेस,positive
612,प्रभावोत्पादक,positive
613,कठोरता,negative
614,भलीभाँति,positive
615,विनोदपूर्वक,positive
616,निंदाकरता ,negative
617,विवेकहीन,negative
618,वैभवशाली,positive
619,गए,stopword
620,हानि,negative
621,गलत समझा,negative
622,शिक्षित,positive
623,सरोष,positive
624,बुद्धिहीनता,negative
625,साथ,stopword
626,आसान,positive
627,प्रभुत्व,positive
628,धारणीय,positive
629,ढलान,negative
630,विडम्बना ,negative
631,उत्कृष्ट,positive
632,पौष्टिक,positive
633,बुद्धिमत्ता,positive
634,इनाम,positive
635,तेजी ,positive
636,निरर्थकतापूर्वक,negative
637,ग़ुलाम ,positive
638,शीर्ष,positive
639,आकर्षक ,negative
640,व्ययसाध्यता,positive
641,फट,negative
642,सफाई ,positive
643,किया,stopword
644,अंधेरा,negative
645,चीर,negative
646,पापी,negative
647,चंगा,positive
648,विक्षिप्तता ,negative
649,बड़बड़ाना,negative
650,ख़ुश,positive
651,चकमा,negative
652,डींगहांकनेवाला,negative
653,इनायत ,positive
654,उपेक्षा,negative
655,धर्म,positive
656,विकलता,negative
657,अनुचित,negative
658,टपकाव ,negative
659,दबाना,negative
660,गरमी ,positive
661,कबाड़,negative
662,हल्का,negative
663,चूतड़,negative
664,स्थिरता,positive
665,भावपूर्ण,positive
666,निरर्थक,negative
667,अपराजेय,positive
668,संक्षारक,negative
669,असहनीय,negative
670,हावी,positive
671,नाहमवार,negative
672,अयुक्त,negative
673,नकली,negative
674,मूर्खबनाया,negative
675,बाहरी,negative
676,चुराना,negative
677,थरथरानेवाला,negative
678,गारंटी,positive
679,अशुद्धगणना,negative
680,उल्लसित,positive
681,छितरानेवाला,negative
682,डींग,positive
683,चुप,positive
684,दाग,negative
685,झल्लाहट,negative
686,ऊपर,stopword
687,उत्तम,positive
688,सुलह,positive
689,अनुकूलतापूर्वक,positive
690,लोभ,negative
691,घूरते,negative
692,रहस्य,negative
693,करने,stopword
694,सहनीय,positive
695,सुखद,positive
696,निराशावाद,negative
697,अध:पतन,negative
698,एलर्जी,negative
699,रहे,stopword
700,कट्टरवाद,negative
701,विविधता,positive
702,लजीली,positive
703,निकम्मापन,negative
704,कातिल,negative
705,जीधर,stopword
706,विशिष्ट,positive
707,शुबहा,negative
708,आमोदप्रमोद ,positive
709,पूरे,stopword
710,अप्रतिष्ठित ,negative
711,परमसुखी,positive
712,प्रभावशालिता,positive
713,चिढ़ाना,negative
714,चुभने,negative
715,क्षुब्ध,negative
716,जलाना,negative
717,करना,stopword
718,सत्यवादिता,positive
719,दोहराव,negative
720,जलन,negative
721,प्रसंविदा,positive
722,बदतर,negative
723,नरक,negative
724,अन्धविश्वास,negative
725,स्नातकोत्तर,positive
726,बुतपरस्त,negative
727,कौशल,positive
728,भागना,negative
729,खतरा,negative
730,अकेलापन,negative
731,उत्तेजित,negative
732,व्यसनी,negative
733,धड़कन,negative
734,ही,stopword
735,सकती,stopword
736,आकर्षण,positive
737,लिये,stopword
738,अधीर,negative
739,धूलसासस्ता,positive
740,अधिकारपूर्ण,positive
741,उमंग,positive
742,गुप्त,negative
743,प्रेमी,positive
744,करतब,negative
745,बंधक,negative
746,अस्वीकृत,negative
747,बीमार,negative
748,अखंड,positive
749,अनम्य,negative
750,मुश्किल,negative
751,आवेगपूर्वक,negative
752,परेशान,negative
753,पोटा,negative
754,तीव्रता ,positive
755,नमकहराम,negative
756,निगलजाना,negative
757,कि वह,stopword
758,निर्दयतापूर्वक,negative
759,समयनिष्ठ,positive
760,वह,stopword
761,बहरा,negative
762,उर्वर,positive
763,प्रतिस्थापन ,positive
764,ढलते,negative
765,दुर्भावनापूर्ण,negative
766,संघर्ष,negative
767,अभिशाप,negative
768,अनर्गलता ,negative
769,यथोचित,positive
770,कालकोठरी,negative
771,गाँठदार,negative
772,निडर,positive
773,तर्कसंगत,positive
774,था,stopword
775,मानवोचित,positive
776,हतप्रभना,negative
777,वास्तविक,positive
778,हिचकिचाहट ,negative
779,दुर्बलकरना,negative
780,निकलाहुआ,negative
781,समझाना,positive
782,अशरण्य,negative
783,दुराशापूर्वक,negative
784,सन्निकटता ,negative
785,उपजाऊ,positive
786,सुन्दरता ,positive
787,अपकीर्ति ,negative
788,अपने,stopword
789,नजाकत,positive
790,दुष्प्रचार,negative
791,अकुशल,negative
792,हताहत,negative
793,अनमोल,positive
794,बर्बाद ,negative
795,जमेहुए,negative
796,अचानक,negative
797,अभिजात ,positive
798,आतंकवाद,negative
799,दुख,negative
800,दोषरहित,positive
801,छली,negative
802,तुली,negative
803,बचत,positive
804,दिलेरी,positive
805,सतत,negative
806,निष्ठुर,negative
807,सर्वोच्चता,positive
808,कानूनी,positive
809,सिड़,negative
810,निग्रहकरना,negative
811,असमर्थ,negative
812,मक्कार,negative
813,ने,stopword
814,आदर,positive
815,भुनभुनाना,negative
816,पाषंडी,negative
817,घात,negative
818,शानदार,positive
819,देशभक्तिपूर्ण,positive
820,उद्देश्यपूर्ण,positive
821,मात्र,stopword
822,प्रतिभा,positive
823,सरल,positive
824,अवहेलनापूर्वक,negative
825,अनाथ,negative
826,व्यापक,positive
827,प्राणघाती,negative
828,कंजूस,negative
829,क्षणभंगुर,negative
830,चिरस्थायी,positive
831,निर्लज्जतापूर्वक,negative
832,चापलूसी,negative
833,बिगाङना,negative
834,पसंदीदा,positive
835,पुरस्कार,positive
836,वाकपटुता ,positive
837,निरोधक,negative
838,शोधन,positive
839,बानगी,positive
840,अस्वाभाविक,positive
841,ढिलाई ,negative
842,शराबी,negative
843,डराना,negative
844,घर्षण,negative
845,उत्तरवर्ती,positive
846,अमान्य,negative
847,परिहासपूर्वक,negative
848,तुम्हारा,stopword
849,वादा,positive
850,हुई,stopword
851,दुविधा ,negative
852,तोड़,negative
853,कौतुक,positive
854,परिश्रम ,negative
855,निषेध,negative
856,संक्रमित,negative
857,हुर्रे,positive
858,सुनहरा,positive
859,खंडन ,negative
860,ऊटपटांग,negative
861,असंतोषजनक,negative
862,यानतोड़क ,negative
863,अविवेच्य,negative
864,क्रुद्धकरना,negative
865,किरण,positive
866,उत्साही,positive
867,स्वाद,positive
868,अधर्मी,negative
869,पोषित,positive
870,लीकेज,negative
871,ईर्ष्यापूर्वक,positive
872,ऐंठना,negative
873,मंसूख ,negative
874,आकस्मिक,positive
875,सहायक,positive
876,कत्लेआम,negative
877,ढोंगकरना,negative
878,बाधा,negative
879,भुगतना,negative
880,अयोग्य ,negative
881,बेलगाव,negative
882,समस्या,negative
883,अलोकप्रिय,negative
884,श्रव्य,positive
885,चरमहराहट,negative
886,कोलाहल,negative
887,स्टंप्ड,negative
888,ज़िंदादिली,positive
889,पछतावा,negative
890,अधीरता,negative
891,औश्र,negative
892,आपातस्थिति,negative
893,आवारा,negative
894,असत्य,positive
895,टूटा,negative
896,अद्भुत,positive
897,मुक्त,positive
898,दूरदर्शिता,positive
899,पुष्टि करना,positive
900,कुंठा,negative
901,रोमांचित,positive
902,आरामदायक,positive
903,जुर्माना,negative
904,द्वेषी,negative
905,दुश्मनों,negative
906,भयंकर,negative
907,पाशविक,negative
908,समस्यात्मक,negative
909,रूढ़िवादी,negative
910,घमंड ,negative
911,घटिया,negative
912,दुर्व्यवहार,negative
913,असुरक्षा,negative
914,व्यामोह,negative
915,अनाड़ीपन ,negative
916,असंवेदनशीलता,negative
917,कमज़ोर,negative
918,मुद्रास्फीति,negative
919,स्वच्छ,positive
920,उदास,negative
921,परिपक्वता,positive
922,बेरहमी ,negative
923,घटिया  ,negative
924,कापी,positive
925,आगेबढ़ना,positive
926,ज़ख़मी ,negative
927,क्रूर,negative
928,नीचतापुर्वक,negative
929,सकौशल,positive
930,चिंताप्रद,negative
931,विषाक्ततापूर्वक,negative
932,अराजकतावादी,negative
933,भारी,negative
934,तीखा,negative
935,बुद्धिमान,positive
936,शोकमनाना,negative
937,बुद्धिमानी,positive
938,गुमराह,negative
939,तहत,stopword
940,अनियंत्रित,negative
941,अवज्ञासूचक,negative
942,क्रोध,negative
943,आवारालड़की,negative
944,आग्रही,negative
945,वर्धित,positive
946,निर्दोषिता ,positive
947,भड़काने,negative
948,कुरूपता,negative
949,नृशंस,negative
950,आगाह,negative
951,प्रमुख,positive
952,मनोहन,positive
953,चुड़ैल,negative
954,विडंबनाओं,negative
955,हमला,negative
956,होता है,stopword
957,दुस्साहसी,negative
958,वादविवाद ,negative
959,ढीलाता,negative
960,फलदायक,positive
961,मुकरना,negative
962,बेकार ,negative
963,अड्डा,negative
964,गुनगुना,negative
965,बेमेल,negative
966,फलफूल,positive
967,प्रोत्साहित,positive
968,स्मार्ट,positive
969,सामंजस्यपूर्ण,positive
970,इलहाम,negative
971,आधुनिकता ,positive
972,रूपहीन,negative
973,लिए,stopword
974,अभिनंदन,positive
975,अचल,negative
976,बड़ा,stopword
977,सम्मान ,positive
978,प्रिय,positive
979,गंवाना,negative
980,ताजा,positive
981,तक,stopword
982,सुलगनेवालीआग,negative
983,उलट,negative
984,रगड़न,negative
985,सुख,positive
986,पीड़ा,negative
987,चमत्कारिक,positive
988,पुरानापन,negative
989,निरीक्षण,negative
990,मदद,positive
991,कौड़ेमारना,negative
992,ईशनिंदा,negative
993,सावधानी,positive
994,बेहतर ,positive
995,कमी,negative
996,नन्हा,negative
997,बंदीबनाना,positive
998,डिमागधोना,negative
999,दुःखी,negative
1000,अटक,negative
1001,दुष्टातापुर्वक,negative
1002,बढ़कर,negative
1003,जड़सेउखाड़ना,negative
1004,कातनेवाली,negative
1005,उलझन,negative
1006,चकाचौंध,positive
1007,उदबोधन,positive
1008,आवाहक,positive
1009,संभावना ,negative
1010,उच्छृंखल,negative
1011,जिसमें,stopword
1012,घेरना,negative
1013,झुठा,negative
1014,अस्पष्ट,negative
1015,दया,negative
1016,विरूपण,negative
1017,शहादत,negative
1018,काट,negative
1019,कठिन,negative
1020,मौलिकता,positive
1021,ग़लतफ़हमी,negative
1022,गै़रजिम्मेदारी ,negative
1023,मोहित,positive
1024,बेजोड़,positive
1025,गुलाबी,positive
1026,दुर्लक्षणद्वारा,negative
1027,सावधानी,positive
1028,इलाज,positive
1029,शोकहारा,positive
1030,स्तंभित,negative
1031,बेतुका,negative
1032,खरोंच,negative
1033,तर्कहीनता,negative
1034,चूकें,negative
1035,खलाना,negative
1036,निरंतरता,positive
1037,भीषण,negative
1038,ख़ुशी ,positive
1039,उत्साह,positive
1040,गर्मी,positive
1041,सूखना,negative
1042,लाचारी,negative
1043,जिन,stopword
1044,बेफिक्र,positive
1045,उत्पीड़ित,negative
1046,अतिक्रमण,negative
1047,दुर्गम,negative
1048,तर्क,positive
1049,उपयुक्त,positive
1050,अवसरवादी,negative
1051,घुसपैठिया,negative
1052,झुनझुने,negative
1053,प्रशंसा,positive
1054,विषमता,negative
1055,हक़बहाल ,positive
1056,झक्की,negative
1057,हीनता,negative
1058,गये,stopword
1059,सीधी,positive
1060,उत्तेजना ,positive
1061,उत्साहपूर्वक,positive
1062,पेंच,negative
1063,गर्भपात,negative
1064,समर्थित,positive
1065,अविचारी,negative
1066,का,stopword
1067,बहिष्कार,negative
1068,धूर्त,negative
1069,उद्यमी,positive
1070,पहुंचयोग्य,positive
1071,गढ़ा,negative
1072,फ़ुटपाथ,negative
1073,जिदकरना,negative
1074,सकल,negative
1075,पुन: जीवित करना,positive
1076,कील,negative
1077,चीरना,negative
1078,निकलवाना,negative
1079,बेवकूफ,negative
1080,सिफारिशों,positive
1081,प्रफुल्ल,negative
1082,स्तुति ,positive
1083,शक्तिशाली,positive
1084,झुनझुनी,negative
1085,पूजना,positive
1086,जहर,negative
1087,शिकायत,negative
1088,अनिच्छुक,negative
1089,बाद,stopword
1090,अप्रिय,negative
1091,आक्रामकता,negative
1092,निर्दोष,positive
1093,शर्मिंदा,negative
1094,साबित,positive
1095,फसादी,negative
1096,अस्थिभंग,negative
1097,जुनूनी,negative
1098,रद्दकरना,negative
1099,परिपक्व,positive
1100,फालतू,negative
1101,करते,stopword
1102,राजसी,positive
1103,मास्टरपीस,positive
1104,गलतियों,negative
1105,धृष्टता,negative
1106,आक्षेप्त,negative
1107,गर्म,positive
1108,प्रचलित,negative
1109,सर्वाधिकारी,negative
1110,विचलन,negative
1111,पूर्ति,positive
1112,कॉर्नरस्टोन,positive
1113,तिरस्कारपूर्ण,negative
1114,अनिवार्यत:,negative
1115,असंगतता ,negative
1116,गुणग्राही,positive
1117,अवाक,positive
1118,सकते,stopword
1119,क्षुद्र,negative
1120,कठोर,negative
1121,स्र्ग्ण,negative
1122,विषाद,negative
1123,निरंकुशतापूर्वक,negative
1124,तोड़फोड़,negative
1125,बेवक़्त,negative
1126,विजय,positive
1127,अतिसंवेदनशील,negative
1128,तोड़ना,negative
1129,भीखमाँगना,negative
1130,मक्कारी ,negative
1131,अवगुण ,negative
1132,इन्हीं,stopword
1133,अनिर्णीत,negative
1134,बेरंग,negative
1135,असुरक्षित,negative
1136,आग्रह,positive
